experience_years,grade,specialization,city,work_format,company_segment,education,posted_date,description,salary_rub
3,middle,backend,moscow,remote,NA,higher_general,2026-02-12,"outsource приглашает backend. Требования: C#, .NET, опыт 2.9+ лет.",240000
4,middle,frontend,kazan,NA,mid_product,not_specified,2026-04-16,"mid_product приглашает frontend. Требования: Angular, RxJS, опыт 3.7+ лет.",155000
4,middle,qa,kazan,hybrid,enterprise,higher_general,2025-02-23,"enterprise приглашает qa. Требования: Postman, SQL, опыт 3.6+ лет.",160000
5,senior,frontend,moscow,hybrid,NA,not_specified,2025-12-16,"Вакансия frontend senior: Angular, RxJS. Зарплата по результатам собеседования.",375000
5,senior,qa,nizhny_novgorod,NA,mid_product,NA,2026-04-19,"Ищем senior qa в команду. Стек: Python, Pytest, Selenium. Опыт от 5.1+ лет.",145000
1,junior,qa,kazan,office,NA,not_specified,2025-08-25,"Ищем junior qa в команду. Стек: Python, Pytest, Selenium. Опыт от 0.7+ лет.",70000
5,senior,mobile,ekaterinburg,office,mid_product,not_specified,2025-08-06,"Открыта позиция senior mobile. Технологии: Swift, iOS. Формат: офис.",335000
NA,junior,frontend,spb,remote,enterprise,not_specified,2025-08-11,"Требуется frontend (junior). Vue.js, Nuxt, remote формат. Санкт-Петербург.",105000
4,middle,mobile,rostov,remote,mid_product,not_specified,2026-01-15,"Ищем middle mobile в команду. Стек: Kotlin, Android. Опыт от 3.9+ лет.",270000
5,senior,data_science,nizhny_novgorod,office,outsource,not_specified,NA,"Требуется data_science (senior). SQL, Spark, office формат. Регион.",305000
2,middle,backend,moscow,remote,mid_product,not_specified,NA,"Открыта позиция middle backend. Технологии: Python, Django. Формат: удалёнка.",310000
NA,junior,mobile,spb,office,smb,not_specified,2025-04-09,"smb приглашает mobile. Требования: React Native, опыт 1.1+ лет.",215000
7,senior,frontend,moscow,office,smb,not_specified,2025-09-30,"smb приглашает frontend. Требования: React, TypeScript, опыт 7.0+ лет.",670000
2,middle,data_science,novosibirsk,remote,enterprise,higher_tech,2026-03-31,"enterprise приглашает data_science. Требования: scikit-learn, опыт 1.7+ лет.",215000
3,middle,qa,spb,NA,enterprise,not_specified,2025-04-19,"Требуется qa (middle). Python, Pytest, Selenium, remote формат. Санкт-Петербург.",200000
15,lead,mobile,moscow,NA,outsource,not_specified,NA,"Требуется mobile (lead). Swift, iOS, remote формат. Москва.",520000
1,junior,qa,moscow,hybrid,outsource,NA,2026-05-26,"Ищем junior qa в команду. Стек: Postman, SQL. Опыт от 1.2+ лет.",100000
2,middle,qa,kazan,NA,mid_product,not_specified,NA,"Вакансия qa middle: Postman, SQL. Зарплата по результатам собеседования.",130000
NA,middle,backend,rostov,remote,outsource,not_specified,2026-05-20,"Ищем middle backend в команду. Стек: Node.js, Express. Опыт от 3.4+ лет.",160000
2,middle,backend,spb,remote,outsource,not_specified,2025-03-21,"Вакансия backend middle: C#, .NET. Зарплата по результатам собеседования.",245000
NA,middle,mobile,rostov,office,bigtech,higher_general,2025-01-12,"bigtech приглашает mobile. Требования: Swift, iOS, опыт 2.2+ лет.",420000
2,middle,backend,moscow,office,mid_product,not_specified,2025-02-10,"Вакансия backend middle: Node.js, Express. Зарплата по результатам собеседования.",300000
4,middle,qa,moscow,office,outsource,not_specified,2026-03-26,"Требуется qa (middle). Java, JUnit, office формат. Москва.",190000
1,junior,qa,spb,hybrid,outsource,not_specified,2025-10-09,"Ищем junior qa в команду. Стек: Postman, SQL. Опыт от 0.9+ лет.",85000
4,senior,mobile,nizhny_novgorod,NA,mid_product,not_specified,2026-03-13,"Открыта позиция senior mobile. Технологии: Flutter, Dart. Формат: офис.",365000
NA,senior,devops,moscow,office,enterprise,higher_general,2026-03-22,"Ищем senior devops в команду. Стек: K8s, Docker, Ansible. Опыт от 5.1+ лет.",590000
1,junior,devops,moscow,office,bigtech,not_specified,2025-08-24,"Вакансия devops junior: K8s, Docker, Ansible. Зарплата по результатам собеседования.",235000
NA,junior,frontend,moscow,NA,outsource,not_specified,2026-02-26,"outsource приглашает frontend. Требования: Next.js, Tailwind, опыт 0.7+ лет.",80000
3,middle,mobile,novosibirsk,remote,mid_product,higher_tech,2026-06-26,"Требуется mobile (middle). Flutter, Dart, remote формат. Регион.",285000
6,senior,data_science,moscow,NA,smb,not_specified,2025-02-22,"Открыта позиция senior data_science. Технологии: TensorFlow, Pandas. Формат: офис.",345000
2,middle,backend,moscow,remote,NA,not_specified,2025-10-08,"Вакансия backend middle: Go, gRPC. Зарплата по результатам собеседования.",1100000
10,lead,frontend,samara,office,enterprise,not_specified,NA,"Ищем lead frontend в команду. Стек: React, TypeScript. Опыт от 10.4+ лет.",390000
2,middle,frontend,ekaterinburg,office,bigtech,not_specified,2025-02-25,"Вакансия frontend middle: Vue.js, Nuxt. Зарплата по результатам собеседования.",330000
NA,junior,mobile,moscow,office,outsource,not_specified,2025-02-25,"Требуется mobile (junior). Swift, iOS, office формат. Москва.",115000
NA,middle,devops,samara,office,NA,higher_general,2026-05-23,"Требуется devops (middle). K8s, Docker, Ansible, office формат. Регион.",300000
NA,middle,frontend,moscow,NA,NA,not_specified,2025-08-19,"Требуется frontend (middle). Vue.js, Nuxt, office формат. Москва.",340000
3,middle,frontend,moscow,remote,mid_product,not_specified,2026-01-04,"Вакансия frontend middle: Next.js, Tailwind. Зарплата по результатам собеседования.",330000
2,middle,frontend,rostov,office,NA,not_specified,NA,"Открыта позиция middle frontend. Технологии: React, TypeScript. Формат: офис.",215000
1,junior,backend,moscow,office,enterprise,higher_general,NA,"enterprise приглашает backend. Требования: Python, Django, опыт 0.7+ лет.",120000
8,senior,mobile,samara,remote,enterprise,higher_general,2026-01-27,"Вакансия mobile senior: Swift, iOS. Зарплата по результатам собеседования.",415000
3,middle,data_science,rostov,remote,outsource,NA,2025-05-19,"outsource приглашает data_science. Требования: SQL, Spark, опыт 2.8+ лет.",180000
2,middle,frontend,moscow,office,mid_product,not_specified,2025-06-17,"mid_product приглашает frontend. Требования: Vue.js, Nuxt, опыт 2.0+ лет.",315000
2,middle,backend,samara,office,mid_product,not_specified,2026-05-28,"Открыта позиция middle backend. Технологии: Node.js, Express. Формат: офис.",230000
7,senior,backend,moscow,hybrid,enterprise,higher_general,2026-02-14,"Ищем senior backend в команду. Стек: Node.js, Express. Опыт от 6.7+ лет.",585000
NA,middle,data_science,rostov,office,mid_product,not_specified,2025-05-25,"Требуется data_science (middle). Python, PyTorch, office формат. Регион.",200000
5,senior,frontend,rostov,remote,bigtech,not_specified,2026-03-24,"Открыта позиция senior frontend. Технологии: Next.js, Tailwind. Формат: удалёнка.",465000
7,senior,frontend,nizhny_novgorod,remote,smb,not_specified,2026-06-06,"Вакансия frontend senior: React, TypeScript. Зарплата по результатам собеседования.",200000
1,junior,devops,novosibirsk,remote,enterprise,not_specified,2025-09-18,"enterprise приглашает devops. Требования: K8s, Docker, Ansible, опыт 1.0+ лет.",120000
5,senior,devops,rostov,office,mid_product,not_specified,NA,"Вакансия devops senior: Terraform, AWS. Зарплата по результатам собеседования.",255000
4,middle,backend,ekaterinburg,remote,mid_product,higher_tech,2025-12-22,"Открыта позиция middle backend. Технологии: Node.js, Express. Формат: удалёнка.",255000
3,middle,mobile,moscow,NA,mid_product,not_specified,2026-02-09,"mid_product приглашает mobile. Требования: Swift, iOS, опыт 3.3+ лет.",345000
4,senior,backend,ekaterinburg,office,mid_product,not_specified,2025-05-17,"mid_product приглашает backend. Требования: Python, Django, опыт 4.2+ лет.",340000
3,middle,devops,moscow,hybrid,mid_product,not_specified,2025-06-28,"Ищем middle devops в команду. Стек: Terraform, AWS. Опыт от 2.7+ лет.",365000
2,middle,frontend,kazan,NA,enterprise,not_specified,2026-04-14,"Ищем middle frontend в команду. Стек: React, TypeScript. Опыт от 1.5+ лет.",210000
1,junior,mobile,spb,office,bigtech,NA,2025-11-14,Открыта позиция junior mobile. Технологии: React Native. Формат: офис.,155000
3,middle,qa,rostov,remote,mid_product,NA,2026-05-17,"Ищем middle qa в команду. Стек: Cypress, JS. Опыт от 2.8+ лет.",135000
2,middle,frontend,moscow,hybrid,enterprise,not_specified,NA,"enterprise приглашает frontend. Требования: React, TypeScript, опыт 2.4+ лет.",365000
6,senior,data_science,spb,office,mid_product,NA,2025-11-24,"Ищем senior data_science в команду. Стек: TensorFlow, Pandas. Опыт от 6.0+ лет.",295000
1,junior,devops,rostov,office,enterprise,NA,2026-03-28,"Открыта позиция junior devops. Технологии: Linux, Bash. Формат: офис.",130000
4,middle,backend,moscow,NA,bigtech,not_specified,2026-01-16,"bigtech приглашает backend. Требования: Go, gRPC, опыт 3.6+ лет.",415000
2,middle,qa,rostov,remote,mid_product,not_specified,2025-08-14,"mid_product приглашает qa. Требования: Python, Pytest, Selenium, опыт 2.4+ лет.",155000
NA,lead,backend,samara,hybrid,bigtech,not_specified,2025-04-25,"Ищем lead backend в команду. Стек: Java, Spring. Опыт от 11.3+ лет.",505000
3,middle,frontend,moscow,hybrid,bigtech,not_specified,2025-03-16,"Требуется frontend (middle). Vue.js, Nuxt, hybrid формат. Москва.",370000
NA,senior,frontend,rostov,office,bigtech,not_specified,NA,"Вакансия frontend senior: React, TypeScript. Зарплата по результатам собеседования.",315000
8,senior,mobile,rostov,office,mid_product,not_specified,2025-05-10,Вакансия mobile senior: React Native. Зарплата по результатам собеседования.,250000
1,junior,backend,ekaterinburg,office,bigtech,not_specified,2025-07-06,"Требуется backend (junior). Go, gRPC, office формат. Регион.",105000
5,senior,frontend,moscow,office,NA,not_specified,2026-05-22,"Вакансия frontend senior: React, TypeScript. Зарплата по результатам собеседования.",415000
NA,senior,frontend,moscow,office,bigtech,NA,2025-02-11,"Вакансия frontend senior: React, TypeScript. Зарплата по результатам собеседования.",540000
4,senior,data_science,novosibirsk,office,enterprise,not_specified,2025-01-12,"Вакансия data_science senior: TensorFlow, Pandas. Зарплата по результатам собеседования.",330000
6,senior,devops,novosibirsk,office,mid_product,not_specified,2026-05-04,"Требуется devops (senior). K8s, Docker, Ansible, office формат. Регион.",395000
2,middle,backend,kazan,remote,NA,not_specified,2026-05-13,"Открыта позиция middle backend. Технологии: Go, gRPC. Формат: удалёнка.",210000
NA,senior,frontend,ekaterinburg,office,enterprise,not_specified,2025-07-07,"Требуется frontend (senior). React, TypeScript, office формат. Регион.",370000
3,middle,data_science,spb,hybrid,mid_product,not_specified,2025-06-10,Открыта позиция middle data_science. Технологии: scikit-learn. Формат: гибрид.,300000
3,middle,qa,moscow,hybrid,outsource,higher_tech,2026-02-20,"Вакансия qa middle: Cypress, JS. Зарплата по результатам собеседования.",205000
NA,intern,backend,moscow,office,bigtech,higher_tech,2025-12-25,"Открыта позиция intern backend. Технологии: Node.js, Express. Формат: офис.",85000
0,intern,devops,spb,remote,enterprise,not_specified,2026-03-08,"Открыта позиция intern devops. Технологии: K8s, Docker, Ansible. Формат: удалёнка.",135000
4,middle,mobile,moscow,hybrid,mid_product,higher_general,NA,"Вакансия mobile middle: Flutter, Dart. Зарплата по результатам собеседования.",400000
10,lead,mobile,rostov,remote,bigtech,not_specified,2025-08-31,"Требуется mobile (lead). Kotlin, Android, remote формат. Регион.",425000
3,middle,backend,moscow,hybrid,smb,NA,2025-01-20,"Ищем middle backend в команду. Стек: Python, Django. Опыт от 3.1+ лет.",275000
2,middle,backend,novosibirsk,NA,mid_product,NA,2025-04-30,"Ищем middle backend в команду. Стек: C#, .NET. Опыт от 2.1+ лет.",180000
4,middle,qa,moscow,office,outsource,not_specified,2025-09-18,"Вакансия qa middle: Postman, SQL. Зарплата по результатам собеседования.",185000
4,middle,backend,moscow,office,mid_product,NA,2025-04-24,"Открыта позиция middle backend. Технологии: C#, .NET. Формат: офис.",1065000
3,middle,mobile,nizhny_novgorod,remote,mid_product,not_specified,2025-12-29,"Ищем middle mobile в команду. Стек: Kotlin, Android. Опыт от 2.8+ лет.",245000
1,junior,mobile,nizhny_novgorod,remote,enterprise,not_specified,NA,"Требуется mobile (junior). Flutter, Dart, remote формат. Регион.",105000
3,middle,backend,nizhny_novgorod,remote,enterprise,not_specified,2025-01-17,"enterprise приглашает backend. Требования: Python, Django, опыт 2.8+ лет.",240000
7,senior,backend,moscow,office,NA,higher_tech,2026-02-16,"Открыта позиция senior backend. Технологии: Node.js, Express. Формат: офис.",555000
4,senior,backend,rostov,remote,bigtech,not_specified,2026-04-19,"Требуется backend (senior). Go, gRPC, remote формат. Регион.",310000
8,lead,data_science,rostov,remote,NA,NA,2025-02-02,"Вакансия data_science lead: TensorFlow, Pandas. Зарплата по результатам собеседования.",375000
0,intern,backend,moscow,office,mid_product,NA,2025-03-16,"Требуется backend (intern). Node.js, Express, office формат. Москва.",75000
3,middle,devops,moscow,office,outsource,NA,2025-10-30,"Открыта позиция middle devops. Технологии: Linux, Bash. Формат: офис.",270000
NA,middle,qa,moscow,hybrid,smb,not_specified,2025-09-28,"Вакансия qa middle: Cypress, JS. Зарплата по результатам собеседования.",150000
1,junior,mobile,kazan,remote,outsource,NA,2026-01-22,"outsource приглашает mobile. Требования: Kotlin, Android, опыт 1.3+ лет.",85000
4,senior,backend,kazan,NA,outsource,not_specified,NA,"Требуется backend (senior). C#, .NET, office формат. Регион.",260000
3,middle,devops,spb,office,bigtech,NA,2025-06-15,"Вакансия devops middle: Linux, Bash. Зарплата по результатам собеседования.",430000
NA,senior,qa,kazan,office,bigtech,NA,NA,"Ищем senior qa в команду. Стек: Cypress, JS. Опыт от 5.0+ лет.",350000
1,junior,frontend,moscow,office,bigtech,higher_tech,2025-03-31,"Требуется frontend (junior). Vue.js, Nuxt, office формат. Москва.",135000
NA,middle,data_science,moscow,remote,bigtech,not_specified,2025-09-21,"Требуется data_science (middle). scikit-learn, remote формат. Москва.",440000
6,senior,qa,samara,office,NA,not_specified,2025-01-22,"Вакансия qa senior: Java, JUnit. Зарплата по результатам собеседования.",185000
NA,junior,backend,spb,remote,NA,not_specified,2025-12-22,"Открыта позиция junior backend. Технологии: C#, .NET. Формат: удалёнка.",80000
4,middle,devops,nizhny_novgorod,office,NA,not_specified,2025-02-28,"mid_product приглашает devops. Требования: CI/CD, GitLab, опыт 4.0+ лет.",245000
4,middle,backend,moscow,office,bigtech,not_specified,2026-02-08,"bigtech приглашает backend. Требования: C#, .NET, опыт 3.7+ лет.",475000
4,senior,devops,rostov,office,mid_product,not_specified,2026-05-27,"Требуется devops (senior). Linux, Bash, office формат. Регион.",1205000
6,senior,qa,nizhny_novgorod,office,smb,not_specified,2026-06-04,"Требуется qa (senior). Cypress, JS, office формат. Регион.",175000
14,lead,backend,moscow,office,outsource,not_specified,2025-01-14,"outsource приглашает backend. Требования: Java, Spring, опыт 14.1+ лет.",500000
1,junior,qa,spb,remote,NA,not_specified,NA,"Вакансия qa junior: Postman, SQL. Зарплата по результатам собеседования.",65000
3,middle,data_science,moscow,office,mid_product,not_specified,NA,"mid_product приглашает data_science. Требования: Python, PyTorch, опыт 2.6+ лет.",780000
3,middle,frontend,moscow,NA,NA,not_specified,2025-09-08,"mid_product приглашает frontend. Требования: React, TypeScript, опыт 2.6+ лет.",280000
1,junior,backend,kazan,office,smb,NA,2025-02-28,"Ищем junior backend в команду. Стек: C#, .NET. Опыт от 1.0+ лет.",80000
2,junior,frontend,moscow,office,smb,not_specified,2025-08-11,"Вакансия frontend junior: Next.js, Tailwind. Зарплата по результатам собеседования.",90000
2,middle,frontend,moscow,remote,bigtech,not_specified,2026-01-10,"Требуется frontend (middle). Next.js, Tailwind, remote формат. Москва.",370000
7,senior,backend,moscow,office,enterprise,not_specified,2026-02-18,"Требуется backend (senior). Python, Django, office формат. Москва.",545000
7,senior,qa,rostov,remote,NA,NA,2025-05-27,"Открыта позиция senior qa. Технологии: Postman, SQL. Формат: удалёнка.",225000
NA,middle,qa,moscow,NA,enterprise,not_specified,2025-11-20,"Открыта позиция middle qa. Технологии: Java, JUnit. Формат: офис.",220000
8,senior,devops,spb,office,NA,NA,2025-12-10,"Ищем senior devops в команду. Стек: Terraform, AWS. Опыт от 7.5+ лет.",320000
3,middle,frontend,ekaterinburg,office,mid_product,not_specified,2025-04-12,"Вакансия frontend middle: Vue.js, Nuxt. Зарплата по результатам собеседования.",155000
3,middle,qa,novosibirsk,remote,mid_product,NA,NA,"Открыта позиция middle qa. Технологии: Cypress, JS. Формат: удалёнка.",170000
1,junior,data_science,moscow,NA,mid_product,not_specified,2025-12-30,"Вакансия data_science junior: SQL, Spark. Зарплата по результатам собеседования.",165000
1,junior,backend,moscow,office,mid_product,not_specified,2025-11-20,"Открыта позиция junior backend. Технологии: C#, .NET. Формат: офис.",135000
1,junior,frontend,spb,NA,enterprise,not_specified,2026-02-24,"Требуется frontend (junior). Vue.js, Nuxt, office формат. Санкт-Петербург.",85000
14,lead,frontend,novosibirsk,remote,mid_product,higher_general,NA,"Ищем lead frontend в команду. Стек: Angular, RxJS. Опыт от 13.6+ лет.",330000
NA,middle,qa,kazan,office,mid_product,not_specified,2025-04-28,"mid_product приглашает qa. Требования: Python, Pytest, Selenium, опыт 1.6+ лет.",150000
2,middle,backend,nizhny_novgorod,remote,mid_product,not_specified,2025-06-03,"Открыта позиция middle backend. Технологии: Go, gRPC. Формат: удалёнка.",220000
5,senior,frontend,ekaterinburg,remote,mid_product,not_specified,NA,"Требуется frontend (senior). Next.js, Tailwind, remote формат. Регион.",215000
NA,middle,frontend,moscow,office,enterprise,not_specified,2025-03-18,"Ищем middle frontend в команду. Стек: React, TypeScript. Опыт от 3.1+ лет.",305000
13,lead,frontend,moscow,office,mid_product,not_specified,2025-06-16,"mid_product приглашает frontend. Требования: React, TypeScript, опыт 13.0+ лет.",510000
4,senior,backend,moscow,office,enterprise,higher_general,2026-06-01,"Вакансия backend senior: Node.js, Express. Зарплата по результатам собеседования.",735000
2,middle,qa,rostov,NA,mid_product,not_specified,2025-07-28,"Требуется qa (middle). Postman, SQL, office формат. Регион.",140000
3,middle,frontend,nizhny_novgorod,remote,NA,not_specified,2025-11-07,"Требуется frontend (middle). Next.js, Tailwind, remote формат. Регион.",230000
4,middle,backend,kazan,remote,enterprise,not_specified,2025-04-14,"enterprise приглашает backend. Требования: C#, .NET, опыт 3.8+ лет.",220000
3,middle,mobile,nizhny_novgorod,office,mid_product,not_specified,2025-06-10,"mid_product приглашает mobile. Требования: Kotlin, Android, опыт 3.4+ лет.",725000
2,middle,devops,moscow,office,enterprise,not_specified,2025-06-29,"Требуется devops (middle). Terraform, AWS, office формат. Москва.",345000
2,middle,qa,kazan,remote,mid_product,NA,2025-08-27,"Требуется qa (middle). Python, Pytest, Selenium, remote формат. Регион.",150000
NA,middle,frontend,samara,office,NA,not_specified,NA,"Требуется frontend (middle). Angular, RxJS, office формат. Регион.",185000
3,middle,mobile,novosibirsk,office,mid_product,not_specified,2025-04-20,Открыта позиция middle mobile. Технологии: React Native. Формат: офис.,305000
6,senior,frontend,novosibirsk,office,mid_product,higher_general,2025-01-12,"mid_product приглашает frontend. Требования: Next.js, Tailwind, опыт 6.0+ лет.",275000
3,middle,frontend,spb,office,bigtech,NA,2025-03-01,"Вакансия frontend middle: Angular, RxJS. Зарплата по результатам собеседования.",315000
3,middle,frontend,moscow,remote,enterprise,not_specified,2025-04-09,"Ищем middle frontend в команду. Стек: React, TypeScript. Опыт от 3.0+ лет.",280000
2,middle,devops,moscow,remote,mid_product,not_specified,2025-04-11,"mid_product приглашает devops. Требования: CI/CD, GitLab, опыт 2.1+ лет.",240000
3,middle,frontend,nizhny_novgorod,remote,mid_product,higher_general,NA,"Открыта позиция middle frontend. Технологии: Vue.js, Nuxt. Формат: удалёнка.",180000
12,lead,frontend,moscow,remote,bigtech,NA,NA,"Открыта позиция lead frontend. Технологии: Vue.js, Nuxt. Формат: удалёнка.",465000
0,intern,backend,moscow,hybrid,smb,NA,2025-11-04,"Требуется backend (intern). C#, .NET, hybrid формат. Москва.",60000
7,senior,backend,moscow,remote,mid_product,not_specified,2025-01-21,"Открыта позиция senior backend. Технологии: Python, Django. Формат: удалёнка.",400000
1,junior,backend,ekaterinburg,office,smb,not_specified,2025-08-20,"smb приглашает backend. Требования: C#, .NET, опыт 0.8+ лет.",75000
3,middle,qa,rostov,office,mid_product,not_specified,2026-04-12,"mid_product приглашает qa. Требования: Python, Pytest, Selenium, опыт 2.8+ лет.",145000
2,middle,frontend,moscow,NA,bigtech,not_specified,2026-01-01,"Вакансия frontend middle: Next.js, Tailwind. Зарплата по результатам собеседования.",340000
7,senior,mobile,kazan,office,enterprise,not_specified,2026-06-04,"Требуется mobile (senior). React Native, office формат. Регион.",485000
NA,junior,backend,rostov,remote,enterprise,not_specified,2026-01-17,"Ищем junior backend в команду. Стек: Node.js, Express. Опыт от 0.9+ лет.",95000
4,middle,qa,moscow,office,smb,not_specified,NA,"Открыта позиция middle qa. Технологии: Python, Pytest, Selenium. Формат: офис.",160000
3,middle,mobile,novosibirsk,office,enterprise,higher_tech,2025-05-04,"Ищем middle mobile в команду. Стек: Swift, iOS. Опыт от 3.0+ лет.",290000
4,middle,backend,ekaterinburg,NA,mid_product,not_specified,2025-05-02,"mid_product приглашает backend. Требования: Java, Spring, опыт 4.0+ лет.",205000
3,middle,mobile,ekaterinburg,remote,mid_product,not_specified,NA,"mid_product приглашает mobile. Требования: Kotlin, Android, опыт 3.4+ лет.",230000
1,junior,backend,moscow,office,outsource,not_specified,2025-03-29,"Открыта позиция junior backend. Технологии: Node.js, Express. Формат: офис.",115000
NA,senior,frontend,rostov,office,mid_product,higher_general,NA,"Требуется frontend (senior). Angular, RxJS, office формат. Регион.",335000
8,senior,qa,novosibirsk,office,outsource,not_specified,NA,"Требуется qa (senior). Python, Pytest, Selenium, office формат. Регион.",155000
6,senior,devops,rostov,office,mid_product,not_specified,2025-01-12,"Ищем senior devops в команду. Стек: K8s, Docker, Ansible. Опыт от 6.1+ лет.",370000
4,middle,mobile,moscow,hybrid,bigtech,not_specified,2025-05-12,"Открыта позиция middle mobile. Технологии: Flutter, Dart. Формат: гибрид.",550000
5,senior,qa,moscow,office,bigtech,not_specified,2025-09-30,"bigtech приглашает qa. Требования: Postman, SQL, опыт 4.7+ лет.",300000
6,senior,frontend,moscow,office,NA,not_specified,2025-06-08,"enterprise приглашает frontend. Требования: Next.js, Tailwind, опыт 5.9+ лет.",355000
2,middle,frontend,moscow,hybrid,mid_product,not_specified,2025-12-16,"Ищем middle frontend в команду. Стек: Angular, RxJS. Опыт от 2.0+ лет.",305000
1,junior,frontend,moscow,hybrid,mid_product,not_specified,2025-06-10,"mid_product приглашает frontend. Требования: React, TypeScript, опыт 1.4+ лет.",120000
2,junior,frontend,nizhny_novgorod,remote,smb,not_specified,2025-05-18,"Вакансия frontend junior: Vue.js, Nuxt. Зарплата по результатам собеседования.",55000
0,intern,backend,ekaterinburg,office,enterprise,not_specified,NA,"Требуется backend (intern). Go, gRPC, office формат. Регион.",45000
4,senior,data_science,moscow,office,outsource,not_specified,2025-11-09,Ищем senior data_science в команду. Стек: scikit-learn. Опыт от 4.5+ лет.,385000
2,middle,backend,moscow,hybrid,outsource,not_specified,2026-02-18,"Вакансия backend middle: Node.js, Express. Зарплата по результатам собеседования.",630000
5,senior,backend,ekaterinburg,remote,enterprise,not_specified,2025-09-07,"Ищем senior backend в команду. Стек: Go, gRPC. Опыт от 5.1+ лет.",375000
3,middle,frontend,nizhny_novgorod,remote,bigtech,not_specified,NA,"Открыта позиция middle frontend. Технологии: Angular, RxJS. Формат: удалёнка.",240000
3,middle,backend,moscow,office,outsource,not_specified,NA,"Открыта позиция middle backend. Технологии: Java, Spring. Формат: офис.",285000
4,middle,qa,moscow,NA,enterprise,higher_general,2025-10-16,"Открыта позиция middle qa. Технологии: Python, Pytest, Selenium. Формат: офис.",195000
2,middle,backend,novosibirsk,NA,NA,not_specified,2026-06-01,"Ищем middle backend в команду. Стек: Python, Django. Опыт от 2.1+ лет.",180000
3,middle,qa,spb,office,NA,not_specified,2025-08-31,"Ищем middle qa в команду. Стек: Postman, SQL. Опыт от 2.8+ лет.",205000
2,middle,backend,moscow,office,enterprise,NA,2025-02-27,"Требуется backend (middle). Node.js, Express, office формат. Москва.",340000
4,middle,qa,moscow,office,enterprise,not_specified,2026-03-12,"Ищем middle qa в команду. Стек: Postman, SQL. Опыт от 3.5+ лет.",240000
